title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
Hemingway,A Biography,Jeffrey Meyers,Literary Collections,4.03,644.0,190.0,1999.0,"HemingwayA BiographyJeffrey MeyersLiterary CollectionsDistinguished by its precision, its graceful use of language, and its resonant depth, the innovative style of Nobel Prize-winning author Ernest Hemingway (1899-1961) radically altered literary conventions and influenced generations of writers. In The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls, The Old Man and the Sea, and numerous short stories, he explored such universal themes as stoicism in adversity, as well as our futile struggles against nature and mortality.This evocative, sympathetic biography illuminates the events that informed Hemingway's vigorous life: an accident-prone youth and early rivalry with his father; his experiences in World War I, the Spanish Civil War, and World War II; his stormy relationships with writers and women; his sudden fame, slow decline, and suicide. Based on previously unavailable information and exclusive interviews, Hemingway enriches anyone's understanding and appreciation of America's most important twentieth-century writer."
Unsung Heroes of Rock 'n' Roll,The Birth of Rock in the Wild Years Before Elvis,Nick Tosches,Biography & Autobiography,4.1,288.0,327.0,1999.0,"Unsung Heroes of Rock 'n' RollThe Birth of Rock in the Wild Years Before ElvisNick ToschesBiography & AutobiographyThe author of ""Country"" now offers a paean to a forsaken time of relentless excess, sudden ruin, and fierce music--the days of rock 'n' roll, long before Elvis came on the scene. 42 illustrations."
The Dark Side Of Genius,The Life Of Alfred Hitchcock,Donald Spoto,Performing Arts,3.83,608.0,950.0,1999.0,"The Dark Side Of GeniusThe Life Of Alfred HitchcockDonald SpotoPerforming ArtsThis is the definitive life story of Alfred Hitchcock, the enigmatic and intensely private director of Psycho, Vertigo, Rear Window, The Birds, and more than forty other films. While setting forth every stage of Hitchcock's long life and brilliant career, Donald Spoto also explores the roots of the director's obsessions with blondes, food, murder, and idealized love—and he traces the incomparable, bizarre genius from Hitchcock's English childhood through the golden years of his career in America as one of the greatest directors in the history of filmmaking."
Johnny Cash,The Biography,Michael Streissguth,Biography & Autobiography,3.79,334.0,277.0,2006.0,"Johnny CashThe BiographyMichael StreissguthBiography & AutobiographyExplores the life and accomplishments of the successful country singer known as the rebellious ""Man in Black"" who struggled with a guilt-ridden childhood, addictions, and self-doubt."
23 Days in July,Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson,Sports & Recreation,3.67,344.0,354.0,2005.0,"23 Days in JulyInside the Tour de France and Lance Armstrong's Record-Breaking VictoryJohn WilcocksonSports & RecreationTaking place over twenty-three days in July and across more than 2,100 miles of smooth blacktop, rough cobblestones, and punishing mountain terrain, the Tour de France is the most grueling sports event in the world. And in 2004, five-time champion Lance Armstrong set out to achieve what no other cyclist in the 100-year history of the race had ever done: win a sixth Tour de France.Armstrong had four serious challengers who wanted nothing more than to deny the man the French call Le Boss from achieving his goal. The major threat among them was the only other former Tour de France champion in last year's race, Germany's Jan Ullrich- The Kaiser. But when the race was over, Lance Armstrong once again wore the yellow jersey of victory."
The Deeper Meaning of Liff,A Dictionary of Things There Aren't Any Words for Yet-- But There Ought to be,Douglas Adams;John Lloyd,Humor,3.93,192.0,3924.0,2005.0,"The Deeper Meaning of LiffA Dictionary of Things There Aren't Any Words for Yet-- But There Ought to beDouglas Adams;John LloydHumorPresents a dictionary of such items as ""Tingrith,"" or the feeling of aluminum foil against your fillings, and ""Ahenny,"" the way people stand when examining other people's bookshelves."
The Best of Wodehouse,An Anthology,Pelham Grenville Wodehouse,Fiction,4.4,840.0,400.0,2007.0,"The Best of WodehouseAn AnthologyPelham Grenville WodehouseFictionA compilation of works by one of the twentieth century's leading humorists features two novels, The Code of the Woosters and Uncle Fred in the Springtime, as well as fourteen short stories and three autobiographical pieces."
Buried Child,A Play,Sam Shepard,Drama,3.91,120.0,6558.0,2006.0,"Buried ChildA PlaySam ShepardDramaA squalid farm populated by the members of a troubled family--alcoholic Dodge; his sanctimonious wife, Halie; and their sons, Tilden, a former athlete and near idiot, and Bradley, who has lost one of his legs to a chain saw--forms the setting for a confrontation with the dark secrets of the past, thanks to the arrival of Bradley's estranged son, Vince, and his girlfriend. Winner of the Pulitzer Prize. Reprint."
If Beale Street Could Talk,A Novel,James Baldwin,Fiction,4.24,197.0,14306.0,2006.0,"If Beale Street Could TalkA NovelJames BaldwinFictionWhen a pregnant Tish's boyfriend Fonny, a sculptor, is wrongfully jailed for the rape of a Puerto Rican woman, their families unite to prove the charge false. Reprint. 10,000 first printing."
Robert Langdon Novels,The Da Vinci Code : a Novel. 02,Dan Brown,Art museum curators,3.82,489.0,1588890.0,2003.0,"Robert Langdon NovelsThe Da Vinci Code : a Novel. 02Dan BrownArt museum curatorsWhile in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci--clues visible for all to see--yet ingeniously disguised by the painter. Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion--an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others. In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless power broker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret--and an explosive historical truth--will be lost forever."
The Sunset Limited,A Novel in Dramatic Form,Cormac McCarthy,Drama,3.96,160.0,6166.0,2006.0,"The Sunset LimitedA Novel in Dramatic FormCormac McCarthyDramaMcCarthy's new play packs all the wallop of his gut-wrenching fiction. ""The Sunset Limited,"" though, is not about blood and guts but about the battle for the human soul."
A Walk in the Woods,Rediscovering America on the Appalachian Trail,Bill Bryson,Sports & Recreation,4.06,397.0,291489.0,2007.0,"A Walk in the WoodsRediscovering America on the Appalachian TrailBill BrysonSports & RecreationTraces the author's adventurous trek along the Appalachian Trail past its natural pleasures, human eccentrics, and offbeat comforts."
The Civil War,A Narrative,Shelby Foote,United States,4.53,2934.0,6406.0,,"The Civil WarA NarrativeShelby FooteUnited States""Foote's comprehensive history of the Civil War includes three compelling volumes: Fort Sumter to Perryville, Fredericksburg to Meridian, and Red River to Appomattox""--Publisher description."
